Team	TeamId	HomeGoalsAve	AwayGoalsAve	HomeGoalsTotal	AwayGoalsTotal	HomeGoalsHalfAve	AwayGoalsHalfAve	HomeGoalsHalfTotal	AwayGoalsHalfTotal	HomeShotsAve	AwayShotsAve	HomeShotsTotal	AwayShotsTotal	HomeShotsOnTargetAve	AwayShotsOnTargetAve	HomeFirstHalfDifferentialAve	AwayFirstHalfDifferentialAve	HomeGameDifferentialAve	AwayGameDifferentialAve	HomeFirstToSecondHalfGoalRatioAve	AwayFirstToSecondHalfGoalRatioAve
Dundee	dundee	1.5614035087719298	1.0172413793103448	89	59	0.7192982456140351	0.5344827586206896	41	31	11.947368421052632	9.706896551724139	681	563	4.228070175438597	3.1379310344827585	-0.017543859649122806	-0.20689655172413793	-0.10526315789473684	-0.9137931034482759	0.0	-0.2152777777777778
Livingston	livingston	1.0714285714285714	0.7758620689655172	60	45	0.5892857142857143	0.3275862068965517	33	19	10.392857142857142	8.741379310344827	582	507	3.4642857142857144	2.6724137931034484	0.03571428571428571	-0.7068965517241379	-0.4107142857142857	-1.3275862068965518	-0.17391304347826086	-0.2777777777777778
Celtic	celtic	2.779220779220779	2.3815789473684212	214	181	1.3896103896103895	0.9868421052631579	107	75	19.064935064935064	17.460526315789473	1468	1327	7.2727272727272725	6.2105263157894735	1.077922077922078	0.5394736842105263	2.090909090909091	1.355263157894737	0.784153005464481	0.46904761904761905
St Johnstone	st_johnstone	1.0	0.9473684210526315	58	54	0.3793103448275862	0.38596491228070173	22	22	11.068965517241379	9.75438596491228	642	556	3.396551724137931	2.982456140350877	-0.29310344827586204	-0.40350877192982454	-0.4827586206896552	-0.7719298245614035	-0.44642857142857145	-0.5384615384615384
Aberdeen	aberdeen	1.6623376623376624	0.868421052631579	128	66	0.6883116883116883	0.42105263157894735	53	32	13.142857142857142	10.368421052631579	1012	788	4.5064935064935066	3.013157894736842	0.18181818181818182	-0.3157894736842105	0.5324675324675324	-1.0	0.2429078014184397	0.006410256410256421
Dundee United	dundee_united	1.2241379310344827	1.1228070175438596	71	64	0.5344827586206896	0.40350877192982454	31	23	12.327586206896552	11.070175438596491	715	631	4.189655172413793	3.7719298245614037	-0.13793103448275862	-0.3508771929824561	-0.2413793103448276	-0.631578947368421	0.09259259259259259	-0.3225806451612903
Motherwell	motherwell	1.56	1.2692307692307692	117	99	0.7333333333333333	0.5384615384615384	55	42	12.52	10.871794871794872	939	848	4.333333333333333	3.6666666666666665	0.17333333333333334	-0.038461538461538464	0.24	-0.15384615384615385	0.06521739130434782	-0.053240740740740734
Hearts	hearts	1.8421052631578947	1.2597402597402598	140	97	0.7763157894736842	0.5454545454545454	59	42	14.75	11.714285714285714	1121	902	5.2368421052631575	3.792207792207792	0.39473684210526316	-0.12987012987012986	0.8157894736842105	-0.09090909090909091	0.38	0.09401709401709403
Falkirk	falkirk	1.5714285714285714	0.9444444444444444	33	17	0.7619047619047619	0.3333333333333333	16	6	12.380952380952381	11.055555555555555	260	199	3.9047619047619047	3.5	-0.09523809523809523	-0.6111111111111112	-0.14285714285714285	-0.6111111111111112	-0.23076923076923078	-0.16666666666666666
Rangers	rangers	2.4210526315789473	1.9870129870129871	184	153	1.0394736842105263	0.8051948051948052	79	62	21.355263157894736	16.675324675324674	1623	1284	7.5394736842105265	6.1688311688311686	0.5657894736842105	0.2077922077922078	1.5789473684210527	0.8181818181818182	0.3626436781609195	0.16141975308641976
Kilmarnock	kilmarnock	1.4342105263157894	0.935064935064935	109	72	0.631578947368421	0.4025974025974026	48	31	13.842105263157896	10.324675324675324	1052	795	4.381578947368421	3.090909090909091	0.13157894736842105	-0.5844155844155844	0.18421052631578946	-0.974025974025974	0.1525	-0.6616161616161615
St Mirren	st_mirren	1.1428571428571428	1.131578947368421	88	86	0.5324675324675324	0.5657894736842105	41	43	11.792207792207792	10.921052631578947	908	830	3.7662337662337664	3.486842105263158	0.05194805194805195	-0.15789473684210525	-0.03896103896103896	-0.6578947368421053	0.078125	0.016129032258064516
Hibernian	hibernian	1.7272727272727273	1.2763157894736843	133	97	0.7792207792207793	0.631578947368421	60	48	13.675324675324676	11.552631578947368	1053	878	4.818181818181818	3.8552631578947367	0.2077922077922078	-0.05263157894736842	0.4675324675324675	-0.2631578947368421	0.30608974358974356	-0.013157894736842105
Ross County	ross_county	1.1754385964912282	0.7894736842105263	67	45	0.47368421052631576	0.24561403508771928	27	14	10.859649122807017	8.982456140350877	619	512	3.6666666666666665	2.6666666666666665	-0.08771929824561403	-0.5964912280701754	-0.3333333333333333	-1.0701754385964912	0.11904761904761907	-0.30434782608695654
