Date,Time,HomeTeam,AwayTeam,Status
2026-08-22,10:00,Falkirk,Heart of Midlothian,STATUS_POSTPONED
2026-08-22,10:00,Hibernian,Kilmarnock,STATUS_POSTPONED
2026-08-22,10:00,Motherwell,Aberdeen,STATUS_POSTPONED
2026-08-22,10:00,Rangers,St Mirren,STATUS_POSTPONED
2026-08-22,10:00,St Johnstone,Celtic,STATUS_POSTPONED
2026-08-22,12:45,Dundee United,Dundee,STATUS_SCHEDULED
2026-08-29,10:00,Celtic,Falkirk,STATUS_SCHEDULED
2026-08-29,10:00,Heart of Midlothian,St Johnstone,STATUS_SCHEDULED
2026-08-29,10:00,Kilmarnock,Dundee United,STATUS_SCHEDULED
2026-08-30,07:00,Aberdeen,Rangers,STATUS_SCHEDULED
2026-08-30,10:00,Dundee,Hibernian,STATUS_SCHEDULED
2026-08-30,10:00,St Mirren,Motherwell,STATUS_SCHEDULED
2026-09-02,14:45,Celtic,Aberdeen,STATUS_SCHEDULED
2026-09-02,14:45,Dundee,St Johnstone,STATUS_SCHEDULED
2026-09-02,14:45,Kilmarnock,St Mirren,STATUS_SCHEDULED
2026-09-02,14:45,Motherwell,Dundee United,STATUS_SCHEDULED
2026-09-02,15:00,Falkirk,Rangers,STATUS_SCHEDULED
2026-09-03,14:45,Hibernian,Heart of Midlothian,STATUS_SCHEDULED
2026-09-05,10:00,Aberdeen,Kilmarnock,STATUS_SCHEDULED
2026-09-05,10:00,Dundee United,Falkirk,STATUS_SCHEDULED
2026-09-05,10:00,Rangers,Motherwell,STATUS_SCHEDULED
2026-09-05,15:00,St Mirren,Celtic,STATUS_SCHEDULED
2026-09-06,10:00,Heart of Midlothian,Dundee,STATUS_SCHEDULED
2026-09-06,10:00,St Johnstone,Hibernian,STATUS_SCHEDULED
2026-09-19,10:00,Dundee,Motherwell,STATUS_SCHEDULED
2026-09-19,10:00,Hibernian,Aberdeen,STATUS_SCHEDULED
2026-09-19,10:00,St Johnstone,Falkirk,STATUS_SCHEDULED
2026-09-19,10:00,St Mirren,Dundee United,STATUS_SCHEDULED
2026-09-19,12:45,Kilmarnock,Heart of Midlothian,STATUS_SCHEDULED
2026-09-20,07:00,Celtic,Rangers,STATUS_SCHEDULED
2026-10-10,10:00,Aberdeen,St Johnstone,STATUS_SCHEDULED
2026-10-10,10:00,Dundee United,Hibernian,STATUS_SCHEDULED
2026-10-10,10:00,Falkirk,Dundee,STATUS_SCHEDULED
2026-10-10,10:00,Heart of Midlothian,St Mirren,STATUS_SCHEDULED
2026-10-10,10:00,Motherwell,Celtic,STATUS_SCHEDULED
2026-10-10,10:00,Rangers,Kilmarnock,STATUS_SCHEDULED
2026-10-17,10:00,Aberdeen,St Mirren,STATUS_SCHEDULED
2026-10-17,10:00,Celtic,Heart of Midlothian,STATUS_SCHEDULED
2026-10-17,10:00,Dundee,Rangers,STATUS_SCHEDULED
2026-10-17,10:00,Hibernian,Falkirk,STATUS_SCHEDULED
2026-10-17,10:00,Kilmarnock,Motherwell,STATUS_SCHEDULED
2026-10-17,10:00,St Johnstone,Dundee United,STATUS_SCHEDULED
