Temperature,Humidity,WindSpeed,Precipitation,WeatherCondition,WeatherDescription,cache_key,stadium
14.402000427246094,86.0,2.900000095367432,0.699999988079071,Slight rain,Slight rain,Kilmarnock_2026-08-09,Kilmarnock
15.784500122070312,74.0,5.400000095367432,0.3000000119209289,Moderate drizzle,Moderate drizzle,Heart of Midlothian_2026-08-09,Heart of Midlothian
14.400500297546388,90.0,2.900000095367432,1.2999999523162842,Slight rain,Slight rain,Motherwell_2026-08-09,Motherwell
16.58249855041504,70.0,4.0,0.2000000029802322,Moderate drizzle,Moderate drizzle,Rangers_2026-08-09,Rangers
18.636999130249023,45.0,3.0999999046325684,0.0,Partly cloudy,Partly cloudy,Falkirk_2026-08-22,Falkirk
18.766000747680664,41.0,2.799999952316284,0.0,Overcast,Overcast,Hibernian_2026-08-22,Hibernian
17.163000106811523,50.0,3.299999952316284,0.0,Partly cloudy,Partly cloudy,Motherwell_2026-08-22,Motherwell
17.513500213623047,53.0,3.9000000953674316,0.0,Partly cloudy,Partly cloudy,Rangers_2026-08-22,Rangers
18.45800018310547,51.0,3.9000000953674316,0.0,Overcast,Overcast,St Johnstone_2026-08-22,St Johnstone
18.300500869750977,44.0,2.299999952316284,0.0,Overcast,Overcast,Dundee United_2026-08-22,Dundee United
16.75,74.77808380126953,3.868462324142456,0.10000000149011612,Light drizzle,Light drizzle,Celtic_2026-08-29,Celtic
18.25,60.383766174316406,3.288236618041992,0.0,Light drizzle,Light drizzle,Heart of Midlothian_2026-08-29,Heart of Midlothian
16.100000381469727,88.50667572021484,5.423328876495361,0.20000000298023224,Light drizzle,Light drizzle,Kilmarnock_2026-08-29,Kilmarnock
17.200000762939453,62.393951416015625,7.808488845825195,0.10000000149011612,Light drizzle,Light drizzle,Aberdeen_2026-08-30,Aberdeen
15.350000381469727,71.61986541748047,7.147377014160156,0.30000001192092896,Light drizzle,Light drizzle,Dundee_2026-08-30,Dundee
14.550000190734863,76.92767333984375,7.072481632232666,0.800000011920929,Moderate drizzle,Moderate drizzle,St Mirren_2026-08-30,St Mirren
15.600000381469727,82.33625030517578,4.738142967224121,0.800000011920929,Moderate drizzle,Moderate drizzle,Celtic_2026-09-02,Celtic
15.800000190734863,79.70460510253906,4.540099143981934,0.6000000238418579,Moderate drizzle,Moderate drizzle,Dundee_2026-09-02,Dundee
15.300000190734863,90.77034759521484,3.8108396530151367,0.6000000238418579,Dense drizzle,Dense drizzle,Kilmarnock_2026-09-02,Kilmarnock
15.25,85.31524658203125,4.883646011352539,0.800000011920929,Moderate drizzle,Moderate drizzle,Motherwell_2026-09-02,Motherwell
16.149999618530273,81.06961059570312,5.657296180725098,0.699999988079071,Moderate drizzle,Moderate drizzle,Falkirk_2026-09-02,Falkirk
14.85949993133545,67.781982421875,9.27698802947998,0.0,Light drizzle,Light drizzle,Hibernian_2026-09-03,Hibernian
