feature,category,dtype,missing_rate,unique_values
Division,excluded,str,0.5070270270270271,1
MatchDate,excluded,str,0.0,323
KickoffTime,excluded,str,0.0,20
HomeTeam,excluded,str,0.0,14
AwayTeam,excluded,str,0.0,14
FullTimeHomeGoals,excluded,int64,0.0,8
FullTimeAwayGoals,excluded,int64,0.0,8
FullTimeResult,excluded,str,0.0,3
HalfTimeHomeGoals,excluded,int64,0.0,7
HalfTimeAwayGoals,excluded,int64,0.0,5
HalfTimeResult,excluded,str,0.0,3
Referee,excluded,str,0.0,29
HomeShots,excluded,int64,0.0,36
AwayShots,excluded,int64,0.0,36
HomeShotsOnTarget,excluded,int64,0.0,16
AwayShotsOnTarget,excluded,int64,0.0,16
HomeFouls,excluded,int64,0.0,24
AwayFouls,excluded,int64,0.0,24
HomeCorners,excluded,int64,0.0,21
AwayCorners,excluded,int64,0.0,19
HomeYellowCards,excluded,int64,0.0,8
AwayYellowCards,excluded,int64,0.0,8
HomeRedCards,excluded,int64,0.0,3
AwayRedCards,excluded,int64,0.0,3
B365H,market,float64,0.0,127
B365D,market,float64,0.0,38
B365A,market,float64,0.0,116
BWH,market,float64,0.0918918918918919,137
BWD,market,float64,0.0918918918918919,47
BWA,market,float64,0.0918918918918919,144
IWH,market,float64,0.6216216216216216,85
IWD,market,float64,0.6216216216216216,48
IWA,market,float64,0.6216216216216216,95
PSH,market,float64,0.20108108108108108,328
PSD,market,float64,0.20108108108108108,295
PSA,market,float64,0.20108108108108108,427
WHH,market,float64,0.31351351351351353,96
WHD,market,float64,0.31351351351351353,36
WHA,market,float64,0.31351351351351353,93
VCH,market,float64,0.5081081081081081,90
VCD,market,float64,0.5081081081081081,36
VCA,market,float64,0.5081081081081081,90
MaxH,market,float64,0.0,279
MaxD,market,float64,0.0,196
MaxA,market,float64,0.0,319
AvgH,market,float64,0.0,374
AvgD,market,float64,0.0,316
AvgA,market,float64,0.0,492
B365>2.5,market,float64,0.0,54
B365<2.5,market,float64,0.0,58
P>2.5,market,float64,0.20108108108108108,134
P<2.5,market,float64,0.20108108108108108,172
Max>2.5,market,float64,0.0,127
Max<2.5,market,float64,0.0,148
Avg>2.5,market,float64,0.0,127
Avg<2.5,market,float64,0.0,174
AHh,market,float64,0.0,22
B365AHH,market,float64,0.0,25
B365AHA,market,float64,0.0,26
PAHH,market,float64,0.20108108108108108,44
PAHA,market,float64,0.20108108108108108,41
MaxAHH,market,float64,0.0,42
MaxAHA,market,float64,0.0,43
AvgAHH,market,float64,0.0,43
AvgAHA,market,float64,0.0,43
B365CH,market,float64,0.0,130
B365CD,market,float64,0.0,42
B365CA,market,float64,0.0,122
BWCH,market,float64,0.0918918918918919,140
BWCD,market,float64,0.0918918918918919,53
BWCA,market,float64,0.0918918918918919,141
IWCH,market,float64,0.6216216216216216,89
IWCD,market,float64,0.6216216216216216,52
IWCA,market,float64,0.6216216216216216,98
PSCH,market,float64,0.20108108108108108,343
PSCD,market,float64,0.20108108108108108,302
PSCA,market,float64,0.20108108108108108,458
WHCH,market,float64,0.31351351351351353,93
WHCD,market,float64,0.31351351351351353,38
WHCA,market,float64,0.31351351351351353,99
VCCH,market,float64,0.5070270270270271,94
VCCD,market,float64,0.5070270270270271,40
VCCA,market,float64,0.5070270270270271,91
MaxCH,market,float64,0.0,332
MaxCD,market,float64,0.0,255
MaxCA,market,float64,0.0,397
AvgCH,market,float64,0.0,376
AvgCD,market,float64,0.0,326
AvgCA,market,float64,0.0,510
B365C>2.5,market,float64,0.0,57
B365C<2.5,market,float64,0.0,59
PC>2.5,market,float64,0.20108108108108108,153
PC<2.5,market,float64,0.20108108108108108,192
MaxC>2.5,market,float64,0.0,143
MaxC<2.5,market,float64,0.0,165
AvgC>2.5,market,float64,0.0,141
AvgC<2.5,market,float64,0.0,197
AHCh,market,float64,0.0,23
B365CAHH,market,float64,0.0,22
B365CAHA,market,float64,0.0,22
PCAHH,market,float64,0.20108108108108108,55
PCAHA,market,float64,0.20108108108108108,55
MaxCAHH,market,float64,0.0,54
MaxCAHA,market,float64,0.0,51
AvgCAHH,market,float64,0.0,42
AvgCAHA,market,float64,0.0,42
League,no_odds,str,0.0,1
ï»¿Div,no_odds,str,0.492972972972973,1
BFH,market,float64,0.7535135135135135,81
BFD,market,float64,0.7535135135135135,30
BFA,market,float64,0.7535135135135135,73
1XBH,market,float64,0.76,165
1XBD,market,float64,0.76,100
1XBA,market,float64,0.76,166
BFEH,market,float64,0.5070270270270271,184
BFED,market,float64,0.5070270270270271,75
BFEA,market,float64,0.5070270270270271,176
BFE>2.5,market,float64,0.5254054054054054,94
BFE<2.5,market,float64,0.5254054054054054,101
BFEAHH,market,float64,0.5913513513513513,53
BFEAHA,market,float64,0.5913513513513513,51
BFCH,market,float64,0.7535135135135135,81
BFCD,market,float64,0.7535135135135135,37
BFCA,market,float64,0.7535135135135135,74
1XBCH,market,float64,0.7535135135135135,159
1XBCD,market,float64,0.7535135135135135,133
1XBCA,market,float64,0.7535135135135135,184
BFECH,market,float64,0.5070270270270271,184
BFECD,market,float64,0.5070270270270271,67
BFECA,market,float64,0.5070270270270271,186
BFEC>2.5,market,float64,0.5070270270270271,89
BFEC<2.5,market,float64,0.5070270270270271,102
BFECAHH,market,float64,0.5091891891891892,47
BFECAHA,market,float64,0.5091891891891892,46
Unnamed: 120,no_odds,float64,1.0,0
Unnamed: 121,no_odds,float64,1.0,0
BFDH,market,float64,0.7416216216216216,63
BFDD,market,float64,0.7416216216216216,23
BFDA,market,float64,0.7416216216216216,60
BMGMH,market,float64,0.7567567567567568,122
BMGMD,market,float64,0.7567567567567568,49
BMGMA,market,float64,0.7567567567567568,116
BVH,market,float64,0.7448648648648649,74
BVD,market,float64,0.7448648648648649,30
BVA,market,float64,0.7448648648648649,77
CLH,market,float64,0.8118918918918919,65
CLD,market,float64,0.8118918918918919,27
CLA,market,float64,0.8118918918918919,64
LBH,market,float64,0.8043243243243243,64
LBD,market,float64,0.8043243243243243,28
LBA,market,float64,0.8043243243243243,65
