Feature,Mean_SHAP
Home_Poisson_4Plus_Goals_Avg_L5,0.20702635
HomeShootingEff_Avg_L5,0.20190294
AwayPointsPerGame,0.18273753
Home_Poisson_1_Goal_Avg_L5,0.16756506
Home_Poisson_xPTS_Avg_L5,0.1622788
HomePointsPerGame,0.15938497
Home_Poisson_0_Goals_Avg_L5,0.15313642
Away_Poisson_0_Goals_Avg_L5,0.14642979
HomeRestDays,0.14458545
AwayxG_Avg_L5,0.14156216
AwayShootingEff_Avg_L5,0.14069413
PointsPerGameDiff,0.13914755
AwayRestDays,0.13848709
HomexG_Avg_L5,0.13470443
HomeMomentum_L3,0.1340671
Away_Poisson_1_Goal_Avg_L5,0.12788896
Home_Poisson_2_3_Goals_Avg_L5,0.12102181
AwayGoalDiffSeason,0.120951176
Away_Poisson_2_3_Goals_Avg_L5,0.115571015
AwayFailedToScorePct_L10,0.106137276
HomeGoalDiffSeason,0.10247872
HomeCleanSheetPct_L10,0.09921377
Away_Poisson_4Plus_Goals_Avg_L5,0.09570532
HomeH2HWinLast5,0.09199058
VenueAdjustedFormDiff,0.08869049
AwayCleanSheetPct_L10,0.087183155
AwayTeamPointsLast5,0.08522757
HomeGoalDiff_Avg_L5,0.08448299
AwayGoalDiff_Avg_L5,0.08214173
Away_Poisson_xPTS_Avg_L5,0.08019354
AwayDefVsHomeAttack,0.06985132
HomeDefVsAwayAttack,0.06881995
HomeWinStreakHome_L5,0.059857313
HomeTeamPointsLast5,0.052512955
HomeFailedToScorePct_L10,0.036427032
AwayMomentum_L3,0.034919884
AwayWinStreakAway_L5,0.033954926
AwayH2HWinLast5,0.028200252
H2HDrawLast5,0.027942166
HomeTeamPointsLast5_HomeOnly,0.0029254623
SKBA,0.0
PPCA,0.0
PPCH,0.0
SKBCD,0.0
SKBCH,0.0
PPCD,0.0
SKBD,0.0
PPD,0.0
HxG,0.0
AxG,0.0
PPH,0.0
SKBH,0.0
PPA,0.0
SKBCA,0.0
AwayTeamPointsLast5_AwayOnly,0.0
